director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,,rand
Steven Spielberg,120,14000,548,Dee Wallace,861,434949459,Family|Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial ,281842,2811,Peter Coyote,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,PG,10500000,1982,725,7.9,,0.135799927
Francis Lawrence,146,508,523,Josh Hutcherson,34000,424645577,Adventure|Sci-Fi|Thriller,Jennifer Lawrence,The Hunger Games: Catching Fire ,498397,49355,Sandra Ellis Lafferty,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,PG-13,130000000,2013,14000,7.6,,0.432070594
George Lucas,140,0,4000,Christopher Lee,20000,380262555,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode III - Revenge of the Sith ,520104,44042,Hayden Christensen,http://www.imdb.com/title/tt0121766/?ref_=fn_tt_tt_1,PG-13,113000000,2005,16000,7.6,,0.406726172
Pierre Coffin,98,275,1000,Miranda Cosgrove,7000,368049635,Animation|Comedy|Family|Sci-Fi,Steve Carell,Despicable Me 2 ,286877,11905,Steve Coogan,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,PG,76000000,2013,2000,7.5,,0.58269035
Tim Miller,108,84,361,Ed Skrein,16000,363024263,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,Deadpool ,479047,18239,Stefan Kapicic,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,R,58000000,2016,805,8.1,,0.662551011
Jon Favreau,106,4000,591,Bill Murray,19000,362645141,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book ,106221,32921,Garry Shandling,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,PG,175000000,2016,13000,7.8,,0.722400149
Steven Spielberg,127,14000,191,Ariana Richards,967,356784000,Adventure|Sci-Fi|Thriller,Wayne Knight,Jurassic Park ,613473,2129,Bob Peck,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,PG-13,63000000,1993,610,8.1,,0.3627838
Michael Bay,154,18000,581,Lester Speight,894,352358779,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,PG-13,195000000,2011,829,6.3,,0.153232071
Sam Raimi,156,0,4000,James Franco,24000,336530303,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383071,46055,Kirsten Dunst,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,PG-13,258000000,2007,11000,6.2,,0.242468378
Tim Burton,108,13000,11000,Alan Rickman,40000,334185206,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,PG,200000000,2010,25000,6.5,,0.882298418
Yarrow Cheney,87,11,745,Eric Stonestreet,1000,323505540,Animation|Comedy|Family,Steve Coogan,The Secret Life of Pets ,24407,4782,Albert Brooks,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,PG,75000000,2016,904,6.8,,0.547759483
Jon Favreau,126,4000,4000,Jeff Bridges,21000,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,PG-13,140000000,2008,12000,7.9,,0.322003893
Steven Spielberg,122,14000,1000,Ray Winstone,11000,317011114,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,PG-13,185000000,2008,1000,6.2,,0.611556474
Peter Jackson,171,0,857,Orlando Bloom,16000,313837577,Action|Adventure|Drama|Fantasy,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,1238746,22342,Billy Boyd,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,PG-13,93000000,2001,5000,8.8,,0.575469177
Jon Favreau,124,4000,4000,Scarlett Johansson,21000,312057433,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,PG-13,200000000,2010,19000,7,,0.548043153
